Username,Job Title,Department
aonelakeuser,PRINCIPAL PROGRAM MANAGER,OneLake PM Eng US R&D
jaded_job3304,Product Manager II,R&D Data - CDM 1010
standard_guest_002,SENIOR PRODUCT MANAGER,R&D Azure Data IDC (Bgl)
nabhishek,PRINCIPAL PM MANAGER,Data Integration
guyinacube,PRINCIPAL PROGRAM MANAGER,Power BI CAT_c
popularvegetable2,Senior Software Engineer,R&D Data - ADF 1010
ajayar0ra,PRINCIPAL SOFTWARE ENG MGR,R&D Data - ADF 1010
ajayjmsft,PRINCIPAL PRODUCT MANAGER,R&D Data- SQL & Migration-1010
ajetasi,PRINCIPAL PRODUCT MANAGER,MRTA PM US R&D
worth_fig5803,PARTNER GROUP SW ENG MGR,Power BI Eng R&D US
kustonaut,SENIOR PRODUCT MANAGER,ECOE PM Noida
akma_msft,Senior Software Engineer,COGS Data - SQL DB
savoy9,Sr Technical Program Manager,MP Exec Office R&D US 1010
itsnotaboutthecell,SENIOR PROGRAM MANAGER,Power BI CAT_c
ashmsft,PROGRAM MANAGER 2,Platform PM R&D CA
alicia_microsoft,PRINCIPAL PM MANAGER,R&D - Data ASA
bokyhavakooky,PRINCIPAL PM LEAD,PBI Platform PM R&D IL
valuablebreakfast449,Senior Software Engineer,ILDC FABRIC PLATFORM
alper-pbi,SENIOR DATA VISUALIZATION ENG,Power BI AI_r
amanjeetsingh1,PRIN PROGRAM MGR,Power BI CAT - Netherlands
adp_sql_mfst,PRINCIPAL PRODUCT MANAGER,R&D Data- SQL & Migration-1010
fabric_warehouse2023,SENIOR PRODUCT MANAGER,Azure Data - Aliso Viejo
amir-jf,PRINCIPAL PRODUCT MANAGER,Data Science & AI COGS
amirnetz,TECHNICAL FELLOW,Azure_AS_c
anaghatodalbagi_msftfabric,PRODUCT MANAGER 2,MRTA PM US R&D
anandtripathi,SENIOR PRODUCT MANAGER,R&D Data- SQL & Migration-1010
aganjam_msft,PRINCIPAL ENGINEERING MANAGER,Data Integration
o0ex-tc0o,Sr Solution Engineer,Data Platform GBB CDAO - Switzerland
anfog,PRINCIPAL SOFTWARE ENG MGR,Spark R&D US
aliuy,PRINCIPAL GROUP PM MANAGER,R&D Data-CosmosDB
microsoft_dev_an,Senior Software Engineer,R&D Data - ADF 1010
andy-ms,SENIOR PRODUCT DESIGNER,Fabric UX US
njeyrud,SR CONTENT DEVELOPER,L&R - GCL Product Mgmt
explorer344,Principal Group Product Manager,R&D Data-SQL Server
